Task,Template,Accuracy,Norm_accuracy
adaxeval-en_knowledge_memorization,mcqa_clozed_prompt,0.2598887515451174,0.3714462299134734
adaxeval-en_knowledge_generalization,mcqa_minimal,0.2892459826946848,0.35754017305315205
adaxeval-ja_knowledge_memorization,mcqa_clozed_prompt,0.6823345084214649,0.7587152369761065
adaxeval-ja_knowledge_generalization,mcqa_minimal,0.4046220133176655,0.5381903642773208

Task,Template,Accuracy,Norm_accuracy
adaxeval-en_knowledge_memorization,mcqa_clozed_prompt,0.2595797280593325,0.36124845488257107
adaxeval-en_knowledge_generalization,mcqa_minimal,0.24011124845488258,0.326946847960445
adaxeval-ja_knowledge_memorization,mcqa_clozed_prompt,0.33411672542107324,0.45671758715236976
adaxeval-ja_knowledge_generalization,mcqa_minimal,0.22326674500587543,0.34939287113200157
